FL_MONTH,DEP_HOUR,OP_UNIQUE_CARRIER,ORIGIN,DEST,DELAY_CATEGORY
2,21,AA,PHL,AUS,SEVERE_DELAY
11,6,DL,SEA,SLC,NO_DELAY
3,10,YV,BDL,IAD,NO_DELAY
5,8,WN,ONT,SMF,NO_DELAY
1,20,UA,IAH,ORD,MINOR_DELAY
6,22,OO,MSP,OMA,NO_DELAY
12,13,OH,DAY,CLT,MINOR_DELAY
1,18,WN,HOU,LAS,MAJOR_DELAY
7,2,NK,PHX,DFW,MAJOR_DELAY
1,6,WN,BNA,DAL,NO_DELAY
10,17,AA,LGA,CLT,NO_DELAY
5,7,AA,CLT,JFK,NO_DELAY
3,19,UA,BOS,IAD,NO_DELAY
7,5,UA,MSP,DEN,NO_DELAY
5,17,OH,PNS,CLT,MINOR_DELAY
4,13,B6,RSW,BOS,NO_DELAY
10,19,UA,IAH,DEN,MAJOR_DELAY
7,8,AS,OAK,SEA,MINOR_DELAY
2,10,EV,EWR,BGR,MAJOR_DELAY
6,7,AA,PHX,SNA,NO_DELAY
3,11,AA,LAX,CLT,NO_DELAY
3,19,WN,DAL,BNA,MINOR_DELAY
3,5,B6,RSW,BOS,NO_DELAY
11,15,DL,DTW,DFW,NO_DELAY
10,19,NK,MCO,LAS,MINOR_DELAY
3,12,OO,GCC,DEN,NO_DELAY
7,18,OO,DEN,SBA,NO_DELAY
5,19,UA,ORD,LGA,NO_DELAY
3,7,DL,SEA,LAX,NO_DELAY
8,16,9E,EVV,DTW,NO_DELAY
8,13,MQ,ALO,ORD,NO_DELAY
1,19,OH,DCA,CAK,NO_DELAY
3,20,OO,SEA,BOI,NO_DELAY
2,18,AA,LAS,LAX,MINOR_DELAY
3,12,DL,SEA,MSP,MAJOR_DELAY
7,16,WN,BDL,BWI,NO_DELAY
1,16,OO,SAF,DFW,NO_DELAY
3,6,OO,MKE,DEN,NO_DELAY
12,7,UA,RDU,ORD,NO_DELAY
12,6,NK,LGA,FLL,NO_DELAY
7,10,MQ,TOL,ORD,NO_DELAY
3,15,WN,SAT,HOU,NO_DELAY
7,21,WN,FLL,SJU,NO_DELAY
1,20,EV,ORD,COU,MAJOR_DELAY
8,21,OO,DTW,BGM,MINOR_DELAY
3,10,AA,LAX,JFK,NO_DELAY
12,8,AA,TPA,DCA,NO_DELAY
8,6,AA,LGA,MIA,NO_DELAY
9,5,DL,RIC,ATL,NO_DELAY
8,16,OO,ORD,MEI,NO_DELAY
